zone_id,zone_name,total_rides,unfair_count,avg_hpi,avg_overcharge_unfair,total_overcharge_unfair,unfair_rate
220,Zone 220,9,1,1.033470229954388,15.613329712852519,15.613329712852519,0.1111111111111111
205,Zone 205,16,1,1.0242793927617233,16.78324772423658,16.78324772423658,0.0625
181,Zone 181,79,1,1.0074648136553856,20.291135012681956,20.291135012681956,0.012658227848101266
12,Zone 12,88,1,1.0067946956749472,9.694072270565687,9.694072270565687,0.011363636363636364
130,Zone 130,109,1,1.0035542237650341,19.269752566174787,19.269752566174787,0.009174311926605505
7,Zone 7,142,1,1.006902031152276,7.67829765974102,7.67829765974102,0.007042253521126761
116,Zone 116,252,1,1.0030275311203765,111.48831197538573,111.48831197538573,0.003968253968253968
232,Zone 232,324,1,1.0038449289721052,18.04663730754241,18.04663730754241,0.0030864197530864196
4,Zone 4,380,1,1.0028775777444414,4.849990687900492,4.849990687900492,0.002631578947368421
88,Zone 88,899,2,1.0038976436208034,23.483094459653728,46.966188919307456,0.002224694104560623
158,Zone 158,3246,7,1.000603805702829,28.977013456166446,202.83909419316512,0.0021565003080714724
70,Zone 70,1242,2,1.0007845694926707,27.682190130716222,55.364380261432444,0.001610305958132045
166,Zone 166,1920,3,1.0032953650400311,42.147242585531565,126.4417277565947,0.0015625
90,Zone 90,6470,10,1.0008028640549633,30.975724048870013,309.7572404887001,0.0015455950540958269
74,Zone 74,649,1,0.9982861330196674,28.448076198848725,28.448076198848725,0.0015408320493066256
113,Zone 113,5376,7,1.0003183196296999,24.713490632111387,172.9944344247797,0.0013020833333333333
41,Zone 41,793,1,1.0022964478117307,48.447291826604754,48.447291826604754,0.0012610340479192938
186,Zone 186,13509,16,1.0001252459446754,33.75117231754111,540.0187570806578,0.0011843955881264343
261,Zone 261,1704,2,1.0001001717751241,28.187353113308667,56.374706226617334,0.0011737089201877935
132,Zone 132,15999,18,1.001457064240991,51.63857354566928,929.494323822047,0.001125070316894806
107,Zone 107,9189,10,1.0013459962181523,28.989862326744735,289.89862326744736,0.0010882576994232234
263,Zone 263,8438,9,1.0007649421028453,35.329390898144595,317.96451808330136,0.001066603460535672
239,Zone 239,11422,12,1.0004928101532997,40.324036728947284,483.8884407473674,0.0010506040973559797
140,Zone 140,8802,9,1.0003113341650627,27.19606387890159,244.7645749101143,0.0010224948875255625
233,Zone 233,5143,5,1.0007547874791218,36.17121625836719,180.85608129183595,0.0009721952167995333
161,Zone 161,18868,18,0.9999127294629532,36.68274050432203,660.2893290777964,0.0009539961840152639
163,Zone 163,11636,11,1.0008690936730862,57.840049293311424,636.2405422264256,0.0009453420419388106
246,Zone 246,5343,5,1.0008255679777711,17.790057939518906,88.95028969759453,0.0009358038555118847
170,Zone 170,11827,11,1.0008260330897687,19.114288570026602,210.2571742702926,0.0009300752515430794
151,Zone 151,3232,3,1.000949796810912,43.82669100029145,131.48007300087434,0.0009282178217821782
162,Zone 162,14011,13,1.000585970622316,40.14850885723916,521.9306151441091,0.000927842409535365
230,Zone 230,13004,12,1.000563338944956,31.30088491004754,375.61061892057046,0.0009227929867733005
143,Zone 143,4443,4,1.000802121724843,28.591222973558306,114.36489189423322,0.0009002925950934053
75,Zone 75,2344,2,1.001048956666048,47.90656549816755,95.8131309963351,0.0008532423208191126
50,Zone 50,2356,2,0.9999857381201139,31.60230426865592,63.20460853731184,0.0008488964346349745
68,Zone 68,9507,8,1.0001583847047748,18.464657569689997,147.71726055751998,0.0008414852214157989
137,Zone 137,4868,4,1.0002050530998743,48.654549055923525,194.6181962236941,0.0008216926869350862
236,Zone 236,18724,15,1.0000567338895738,27.549963344071305,413.24945016106955,0.0008011108737449263
48,Zone 48,10024,8,1.0005843223650455,25.60993260256113,204.87946082048904,0.0007980845969672786
114,Zone 114,5048,4,1.0015349631524648,69.76204479053574,279.04817916214296,0.000792393026941363
164,Zone 164,8971,7,0.999200104111826,23.549865510566814,164.8490585739677,0.0007802920521680972
211,Zone 211,2646,2,1.0017674671004515,25.08935083723037,50.17870167446074,0.0007558578987150416
231,Zone 231,5316,4,0.9999798972391745,11.800752592482539,47.203010369930155,0.0007524454477050414
229,Zone 229,8137,6,0.998559685303154,18.796430592617252,112.7785835557035,0.000737372496005899
43,Zone 43,6852,5,1.000202925127642,21.27780954353169,106.38904771765844,0.0007297139521307647
264,Zone 264,4486,3,1.0011655131074184,23.33688927165682,70.01066781497046,0.0006687472135532769
144,Zone 144,3097,2,0.9996988523605727,42.764935305454344,85.52987061090869,0.0006457862447529867
79,Zone 79,10091,6,1.0012930960103394,33.660736703269926,201.96442021961957,0.0005945892379347934
141,Zone 141,10556,6,0.9999876521535834,19.60113348105494,117.60680088632964,0.0005683971201212581
87,Zone 87,1813,1,1.0027422890931095,91.85623137322344,91.85623137322344,0.0005515719801434088
125,Zone 125,1844,1,1.000337615644123,36.794946420801416,36.794946420801416,0.0005422993492407809
148,Zone 148,3834,2,1.0011955385461782,17.90736104398606,35.81472208797212,0.0005216484089723526
142,Zone 142,13571,7,0.9998524762552871,18.954996432145432,132.68497502501802,0.0005158057622872301
238,Zone 238,8177,4,1.000879954482878,36.773535063166854,147.09414025266742,0.0004891769597651951
13,Zone 13,2076,1,1.000358311319236,22.624857920706745,22.624857920706745,0.0004816955684007707
237,Zone 237,20936,10,0.9995509485845392,17.49962464241641,174.9962464241641,0.0004776461597248758
249,Zone 249,8850,4,1.0004740287662546,25.46769453861699,101.87077815446796,0.0004519774011299435
234,Zone 234,11178,5,1.0002577568076185,21.246427975679655,106.23213987839827,0.00044730721059223476
