hour,total_rides,unfair_count,avg_hpi,avg_overcharge_unfair,unfair_rate
0,9391,7,1.0002698483363268,43.96257226682981,0.0007453945266744755
1,6371,3,0.9992914930937152,14.459177439493757,0.00047088369172814315
2,4297,2,1.0004846195729735,69.68007702867749,0.00046544100535257155
3,2705,0,1.0024116599194774,0.0,0.0
4,1573,1,1.0005529555666053,39.719068644440334,0.0006357279084551812
5,1598,1,0.9984127913771954,36.794946420801416,0.0006257822277847309
6,3811,2,0.9980778736611916,40.98254731655685,0.0005247966413014956
7,7999,2,0.9988887476573414,34.90488401537632,0.00025003125390673836
8,11208,7,0.9984123503026078,29.298243966348227,0.0006245538900785154
9,15017,12,0.9990139944146759,28.408276184072463,0.0007990943597256443
10,19320,16,0.998699871309397,32.455527981190926,0.0008281573498964803
11,20384,9,0.998890254764136,66.57048021495581,0.0004415227629513344
12,23109,15,1.0000740109646777,23.96867882777698,0.0006490977541217707
13,23976,16,0.9997813480540174,22.86580837778495,0.000667334000667334
14,25633,20,0.9995077628716059,31.355849003876415,0.0007802442164397456
15,26582,24,1.000176242672037,22.060318942271355,0.0009028666014596344
16,26211,31,1.0027192214490186,31.08063446866719,0.0011827095494258135
17,28223,30,1.000627754430871,26.62241349496447,0.0010629628317329837
18,30023,40,1.0017809532063109,42.32872694736379,0.0013323118942144357
19,28149,21,1.0017491385985877,22.709290011953254,0.0007460300543536182
20,24059,24,1.0003229664791626,36.049544454566295,0.000997547695249179
21,21664,11,1.0007682335481338,60.005891522003864,0.0005077548005908419
22,17544,19,1.0021127266128849,22.88186234537174,0.0010829913360693114
23,13187,14,1.0021057560865834,16.186576512574657,0.0010616516266019566
