Model,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Train_MAPE,Test_MAPE,Train_R2,Test_R2,Train_Time_s,Pred_Time_s
Linear Regression,5.3075935180491385,12.50866798398989,2.116690676896299,2.1964365784143687,21.452853857768556,18.627778586829148,0.9100997210475582,0.38742485488798406,,0.2530198097229004
Random Forest,1.656947692054232,2.116527021118823,0.4032233269331833,0.5590397634920916,12.437570677990491,11.529472042181233,0.9912384019358911,0.9824618057553178,,9.622514009475708
HistGradientBoosting,2.2300878844476024,2.3180818674214603,0.6236305825268245,0.6363799012975981,16.260962466213662,12.734552732981609,0.984128802872261,0.9789624684290328,,2.1120238304138184
